"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",50094070
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",61863456
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",34011678
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",10723777
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",12994238
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",289392660
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",13916693
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",4047863
"ALA","AROVELLA THERAPEUTICS LIMITED","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",16164831
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",7179333
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",190210358
"ALD","AMPOL LIMITED","1980-12-31","Energy",6705821066
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",287823610
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",411881155
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",341311777
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",20346592333
"ALM","ALMA METALS LIMITED","2007-04-18","Energy",9140008
"ALO","ALLOGGIO GROUP LIMITED","2021-11-29","Consumer Services",45164255
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",5902004068
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",4613801
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",4723497912
"ALV","ALVO MINERALS LIMITED","2021-10-20","Materials",10196244
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",9938210893
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",28273830
"AM7","ARCADIA MINERALS LIMITED","2021-06-25","Materials",17527521
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",230710097
"AMC","AMCOR PLC","1969-08-28","Materials",26832132399
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",8135060
"AME","ALTO METALS LIMITED","2012-12-20","Materials",37890960
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",325299550
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",173241210
"AML","AEON METALS LIMITED.","2007-06-14","Materials",31094017
"AMM","ARMADA METALS LIMITED","2021-12-15","Materials",5824000
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",91551914
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",30496741
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",4218770595
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",24511086
